epoch,train_loss,val_score,time_sec
0,1.176309,0.608417,6.33
1,1.042407,0.613978,4.87
2,0.994739,0.672536,4.83
3,0.966924,0.64064,4.85
4,0.941769,0.660002,4.9
5,0.885111,0.682194,4.95
6,0.876448,0.705293,4.88
7,0.868192,0.698609,4.86
8,0.83078,0.692654,5.0
9,0.830944,0.673365,5.07
10,0.79102,0.696338,5.02
11,0.796272,0.678866,4.96
12,0.780331,0.713913,4.98
13,0.747159,0.706036,5.06
14,0.762126,0.726877,5.01
15,0.741327,0.725367,4.97
16,0.726665,0.708676,5.1
17,0.697926,0.704811,5.1
18,0.694627,0.71749,5.18
19,0.711163,0.710581,5.08
20,0.646638,0.71464,5.05
21,0.666774,0.708883,5.07
22,0.633999,0.715589,5.11
23,0.624531,0.708369,5.08
24,0.613896,0.700877,5.03
