epoch,train_loss,val_score,time_sec
0,1.406703,0.145523,7.06
1,0.535281,0.29603,5.36
2,0.426383,0.340481,5.39
3,0.378266,0.445,5.4
4,0.355152,0.445403,5.29
5,0.324023,0.521556,5.29
6,0.308868,0.558163,5.3
7,0.292557,0.580637,5.45
8,0.278204,0.538053,5.42
9,0.272629,0.518353,5.06
10,0.269734,0.542123,5.01
11,0.256434,0.601036,5.04
12,0.254856,0.550524,5.1
13,0.253749,0.559643,4.97
14,0.254197,0.552547,5.06
15,0.238217,0.576257,5.08
16,0.232275,0.58004,5.04
17,0.224138,0.540387,5.04
18,0.217727,0.590366,5.03
19,0.229306,0.546072,4.97
20,0.214921,0.580468,5.03
21,0.215258,0.527116,5.25
