epoch,train_loss,val_auc,time_sec
0,0.652206,0.62682,3.1
1,0.5803,0.705837,2.34
2,0.545035,0.723164,2.29
3,0.524143,0.770415,2.32
4,0.511186,0.775822,2.31
5,0.486296,0.797819,2.34
6,0.472561,0.810783,2.34
7,0.455772,0.806912,2.35
8,0.444447,0.799232,2.33
9,0.413882,0.80384,2.42
10,0.414069,0.80212,2.4
11,0.385732,0.815945,2.43
12,0.372585,0.814962,2.4
13,0.387981,0.825407,2.38
14,0.372687,0.818402,2.44
15,0.3409,0.822151,2.42
16,0.367585,0.819816,2.36
17,0.330365,0.80298,2.46
18,0.354003,0.807097,2.45
19,0.334669,0.810292,2.38
20,0.334778,0.821659,2.39
21,0.322739,0.841014,2.36
22,0.328344,0.846667,2.3
23,0.314489,0.819078,2.32
24,0.319293,0.828786,2.31
25,0.308666,0.831429,2.24
26,0.312175,0.832227,2.26
27,0.326055,0.832719,2.34
28,0.307959,0.826697,2.39
29,0.308166,0.830445,2.4
30,0.28457,0.834071,2.37
31,0.289163,0.830814,2.42
32,0.289131,0.825837,2.37
