epoch,train_loss,val_score,time_sec
0,1.262936,0.612987,10.03
1,1.168247,0.66624,8.7
2,1.11672,0.683264,9.02
3,1.093006,0.699074,8.61
4,1.0438,0.710845,9.06
5,1.033843,0.719852,8.98
6,0.999703,0.748928,8.95
7,0.958017,0.746687,8.5
8,0.960821,0.764038,8.68
9,0.916705,0.775038,8.67
10,0.894779,0.782901,8.87
11,0.883323,0.789106,9.28
12,0.861743,0.790856,10.14
13,0.850035,0.794695,9.79
14,0.82617,0.796747,9.76
15,0.820603,0.806939,9.55
16,0.799931,0.810439,9.74
17,0.781312,0.812624,9.37
18,0.77301,0.819341,9.03
19,0.759419,0.821009,8.59
20,0.737306,0.820086,9.09
21,0.709252,0.827783,9.12
22,0.710225,0.83,8.97
23,0.69156,0.830244,8.68
24,0.669823,0.834967,8.64
25,0.66458,0.834796,8.62
26,0.676795,0.834208,8.73
27,0.659148,0.84143,8.82
28,0.619731,0.840073,8.72
29,0.63227,0.837395,8.91
30,0.620816,0.839261,9.1
31,0.62704,0.837525,9.3
32,0.614181,0.842292,8.86
33,0.62098,0.836887,9.01
34,0.59409,0.840379,8.95
35,0.602879,0.843985,9.05
36,0.60134,0.843059,9.12
37,0.570298,0.845528,8.51
38,0.585076,0.848234,9.08
39,0.597929,0.846717,9.03
40,0.579566,0.847363,9.16
41,0.579284,0.843675,8.85
42,0.579419,0.845874,8.68
43,0.564378,0.844669,8.7
44,0.553406,0.842674,8.77
45,0.567236,0.850143,8.67
46,0.545471,0.850772,8.53
47,0.566988,0.841332,8.66
48,0.571598,0.844795,8.78
49,0.568182,0.843463,8.86
