epoch,train_loss,val_score,time_sec
0,1.497221,0.014536,4.69
1,0.718063,0.079142,3.53
2,0.59118,0.099646,3.59
3,0.541062,0.091163,3.47
4,0.530334,0.123625,3.46
5,0.507585,0.08215,3.61
6,0.464939,0.159033,3.64
7,0.47209,0.169806,3.61
8,0.461332,0.234618,3.65
9,0.465273,0.25275,3.67
10,0.428006,0.234941,3.66
11,0.450322,0.265944,3.49
12,0.443056,0.259684,3.47
13,0.432474,0.266175,3.46
14,0.407657,0.322746,3.51
15,0.389602,0.248698,3.49
16,0.401192,0.20179,3.43
17,0.402035,0.277,3.47
18,0.380299,0.329232,3.5
19,0.379859,0.282908,3.53
20,0.369611,0.262306,3.48
21,0.369522,0.283305,3.5
22,0.35872,0.312193,3.48
23,0.366873,0.303606,3.57
24,0.352421,0.336683,3.56
25,0.342308,0.361285,3.58
26,0.356773,0.370462,3.56
27,0.347074,0.398954,3.61
28,0.340772,0.329251,3.58
29,0.333962,0.364912,3.51
30,0.331906,0.352827,3.54
31,0.321408,0.344845,3.58
32,0.335195,0.348444,3.49
33,0.32618,0.393722,3.48
34,0.328619,0.439217,3.41
35,0.317442,0.413925,3.5
36,0.324882,0.425117,3.44
37,0.320939,0.444742,3.46
38,0.324736,0.43221,3.44
39,0.324004,0.42785,3.45
40,0.315449,0.420016,3.72
41,0.313007,0.426753,3.75
42,0.302281,0.444058,3.64
43,0.309874,0.445262,3.65
44,0.316861,0.461477,3.63
45,0.303609,0.441616,3.78
46,0.309815,0.449779,3.72
47,0.307882,0.432769,3.72
48,0.310218,0.428193,3.71
49,0.306587,0.438871,3.75
