epoch,train_loss,val_auc,time_sec
0,0.642735,0.592735,3.79
1,0.60034,0.418112,3.28
2,0.588035,0.486263,3.46
3,0.57427,0.517948,3.41
4,0.574542,0.500107,3.41
5,0.557934,0.551987,3.42
6,0.554602,0.515307,3.41
7,0.537701,0.530793,3.46
8,0.519203,0.618711,3.43
9,0.506327,0.670592,3.44
10,0.512924,0.718833,3.42
11,0.492478,0.740883,3.44
12,0.488767,0.751873,3.47
13,0.47615,0.771783,3.45
14,0.486816,0.771997,3.44
15,0.474076,0.788768,3.44
16,0.473415,0.786698,3.41
17,0.452471,0.795547,3.43
18,0.461792,0.805466,3.44
19,0.438074,0.81403,3.44
20,0.454482,0.816242,3.42
21,0.427227,0.813031,3.46
22,0.439237,0.815172,3.44
23,0.422562,0.806465,3.42
24,0.427506,0.809249,3.44
25,0.436293,0.820238,3.43
26,0.417476,0.821737,3.43
27,0.443133,0.819097,3.44
28,0.418445,0.817384,3.42
29,0.401573,0.819168,3.42
30,0.426038,0.820952,3.43
31,0.418491,0.827731,3.42
32,0.411014,0.824021,3.42
33,0.410723,0.827375,3.43
34,0.403171,0.827303,3.43
35,0.422015,0.833869,3.43
36,0.405761,0.826161,3.44
37,0.40346,0.832227,3.42
38,0.409273,0.830515,3.42
39,0.399355,0.836224,3.44
40,0.415312,0.839221,3.45
41,0.407574,0.837865,3.44
42,0.403104,0.838793,3.46
43,0.415346,0.833797,3.42
44,0.409431,0.832941,3.41
45,0.404234,0.833512,3.46
46,0.397862,0.832441,3.43
47,0.404575,0.834011,3.43
48,0.395095,0.834154,3.44
49,0.414918,0.837508,3.43
