epoch,train_loss,val_score,time_sec
0,1.09837,0.451382,3.83
1,1.068093,0.448561,2.46
2,1.05418,0.451423,2.52
3,1.039246,0.519953,2.52
4,1.016808,0.513796,2.37
5,0.994527,0.56092,2.37
6,0.994544,0.603552,2.35
7,0.992682,0.617882,2.36
8,0.975594,0.639346,2.37
9,0.952683,0.635153,2.38
10,0.95238,0.645113,2.43
11,0.942307,0.650251,2.44
12,0.93899,0.654764,2.44
13,0.92585,0.67033,2.47
14,0.919057,0.667855,2.47
15,0.905188,0.671543,2.51
16,0.915188,0.666484,2.45
17,0.917352,0.66753,2.43
18,0.911754,0.674087,2.45
19,0.906578,0.672269,2.5
20,0.897782,0.68551,2.51
21,0.888533,0.676023,2.47
22,0.893222,0.674224,2.38
23,0.890585,0.678158,2.36
24,0.884316,0.68105,2.35
25,0.878183,0.682636,2.39
26,0.870228,0.688455,2.39
27,0.87776,0.690119,2.41
28,0.865317,0.696154,2.4
29,0.878578,0.695384,2.5
30,0.867281,0.694843,2.5
31,0.866454,0.695576,2.47
32,0.866879,0.692976,2.51
33,0.869284,0.689988,2.48
34,0.862397,0.691501,2.49
35,0.844644,0.690524,2.5
36,0.850669,0.687707,2.47
37,0.846608,0.688005,2.54
38,0.856176,0.688951,2.49
