epoch,train_loss,val_score,time_sec
0,1.30067,0.0,9.79
1,0.593282,-0.000729,2.85
2,0.521037,0.061518,2.68
3,0.507245,0.013768,2.73
4,0.498804,-0.053521,2.68
5,0.47819,0.047151,2.71
6,0.465893,0.107973,2.7
7,0.465844,0.081584,2.63
8,0.471678,0.084465,2.66
9,0.443382,0.106111,2.63
10,0.432123,0.156822,2.65
11,0.427753,0.174717,2.69
12,0.413561,0.183099,2.66
13,0.42397,0.169387,2.64
14,0.407484,0.209493,2.67
15,0.406922,0.180269,2.59
16,0.406346,0.21947,2.66
17,0.402654,0.21423,2.62
18,0.394167,0.207397,2.7
19,0.397115,0.198464,2.55
20,0.383755,0.221718,2.57
21,0.39987,0.240207,2.5
22,0.372758,0.22476,2.49
23,0.384633,0.253947,2.57
24,0.365146,0.251395,2.59
25,0.37228,0.25304,2.53
26,0.368681,0.266929,2.52
27,0.367595,0.270111,2.52
28,0.357369,0.269036,2.55
29,0.363161,0.281493,2.59
30,0.355419,0.275262,2.56
31,0.371012,0.266942,2.56
32,0.361942,0.264424,2.56
33,0.349185,0.264757,2.56
34,0.354672,0.280749,2.59
35,0.354378,0.258714,2.57
36,0.356144,0.270521,2.6
37,0.354233,0.291961,2.56
38,0.352903,0.30439,2.66
39,0.353864,0.290475,2.62
40,0.341116,0.308544,2.7
41,0.346072,0.301759,2.68
42,0.361751,0.291868,2.68
43,0.344879,0.300561,2.66
44,0.355481,0.310193,2.71
45,0.353608,0.298429,2.6
46,0.351696,0.31672,2.64
47,0.347314,0.298573,2.67
48,0.353436,0.300164,2.64
49,0.34992,0.309999,2.61
