epoch,train_loss,val_auc,time_sec
0,0.640207,0.602366,2.9
1,0.566803,0.700369,2.35
2,0.510024,0.748971,2.33
3,0.418495,0.795054,2.39
4,0.420006,0.801198,2.28
5,0.378774,0.808018,2.3
6,0.363259,0.812565,2.29
7,0.349078,0.828418,2.34
8,0.321771,0.829155,2.32
9,0.324147,0.827127,2.32
10,0.292233,0.848449,2.29
11,0.296789,0.855822,2.31
12,0.262941,0.84126,2.32
13,0.28181,0.853425,2.32
14,0.236619,0.859447,2.31
15,0.246829,0.852074,2.29
16,0.216102,0.863072,2.3
17,0.215477,0.860184,2.28
18,0.219234,0.849985,2.27
19,0.186551,0.846114,2.26
20,0.188016,0.8549,2.3
21,0.177408,0.849186,2.28
22,0.14454,0.850353,2.31
23,0.152623,0.845684,2.29
24,0.169433,0.83573,2.28
25,0.146871,0.835115,2.29
26,0.16086,0.839048,2.29
