epoch,train_loss,val_score,time_sec
0,1.060882,0.556134,4.42
1,1.031238,0.63318,3.52
2,0.969169,0.698737,3.52
3,0.916489,0.70289,3.4
4,0.890837,0.750997,3.35
5,0.862274,0.762724,3.36
6,0.838332,0.764219,3.35
7,0.828463,0.78551,3.32
8,0.802464,0.781,3.35
9,0.796465,0.789418,3.39
10,0.762227,0.798087,3.45
11,0.740656,0.790985,3.42
12,0.724168,0.793987,3.44
13,0.715233,0.79051,3.44
14,0.706581,0.784266,3.44
15,0.668806,0.787327,3.43
16,0.6583,0.791493,3.44
17,0.6397,0.789519,3.44
18,0.624147,0.800145,3.49
19,0.605142,0.790809,3.37
20,0.604223,0.778051,3.44
21,0.601802,0.765999,3.42
22,0.53178,0.772107,3.39
23,0.531354,0.773165,3.44
24,0.505614,0.761515,3.4
25,0.49914,0.776003,3.41
26,0.475671,0.768822,3.38
27,0.472947,0.767874,3.4
28,0.434589,0.760388,3.41
