epoch,train_loss,val_score,time_sec
0,1.050322,0.218445,4.54
1,0.471376,0.212214,3.59
2,0.415765,0.286201,3.57
3,0.36499,0.371596,3.56
4,0.333234,0.464765,3.56
5,0.315124,0.427433,3.55
6,0.30218,0.529603,3.53
7,0.281835,0.487046,3.53
8,0.272824,0.474925,3.56
9,0.25487,0.488596,3.56
10,0.256934,0.515931,3.54
11,0.237652,0.561201,3.56
12,0.229209,0.541304,3.57
13,0.223861,0.526821,3.57
14,0.211129,0.563981,3.65
15,0.216079,0.553915,3.66
16,0.208113,0.612269,3.63
17,0.201581,0.57481,3.65
18,0.191632,0.565594,3.67
19,0.188196,0.610857,3.63
20,0.185324,0.587352,3.66
21,0.17514,0.588066,3.6
22,0.169989,0.597144,3.48
23,0.165845,0.580142,3.48
24,0.157757,0.577393,3.49
25,0.153063,0.554145,3.49
26,0.146323,0.57567,3.47
