epoch,train_loss,val_auc,time_sec
0,0.577162,0.832798,2.41
1,0.438845,0.895954,1.91
2,0.412821,0.919575,1.91
3,0.388139,0.903946,1.91
4,0.378835,0.918861,1.92
5,0.368108,0.922358,1.91
6,0.36142,0.907729,1.92
7,0.356725,0.938486,1.91
8,0.338148,0.929994,1.91
9,0.342262,0.931564,1.92
10,0.330376,0.935417,1.91
11,0.302882,0.94291,1.91
12,0.29897,0.939913,1.91
13,0.304273,0.946978,1.91
14,0.286293,0.937273,1.91
15,0.296932,0.934489,1.91
16,0.295245,0.932491,1.91
17,0.290776,0.940198,1.91
18,0.260483,0.940412,1.91
19,0.246895,0.93977,1.91
20,0.225137,0.93977,1.92
21,0.236954,0.889032,1.91
22,0.270846,0.936202,1.91
23,0.218554,0.939342,1.91
