epoch,train_loss,val_score,time_sec
0,1.141482,0.752069,6.63
1,0.923931,0.810316,5.86
2,0.793517,0.840743,5.88
3,0.72185,0.853861,5.87
4,0.688796,0.866735,5.88
5,0.632426,0.882627,5.9
6,0.612907,0.880916,5.87
7,0.604474,0.880907,5.91
8,0.578096,0.890733,5.93
9,0.549664,0.894937,5.93
10,0.536729,0.892761,5.92
11,0.530022,0.892809,5.93
12,0.51328,0.899632,5.95
13,0.495098,0.896338,5.94
14,0.479104,0.898749,5.93
15,0.471543,0.897559,5.95
16,0.462438,0.900799,5.94
17,0.430778,0.89751,5.94
18,0.442268,0.898579,5.93
19,0.414188,0.889097,5.93
20,0.399024,0.900581,5.94
21,0.379312,0.898631,5.93
22,0.389103,0.899072,5.93
23,0.362114,0.898133,5.94
24,0.356367,0.897656,5.95
25,0.336307,0.895273,5.95
26,0.32881,0.8956,5.93
