epoch,train_loss,val_score,time_sec
0,0.530834,0.366204,3.73
1,0.351857,0.385572,3.0
2,0.318655,0.474526,2.99
3,0.284335,0.559821,3.0
4,0.258649,0.66396,3.0
5,0.249859,0.577208,2.99
6,0.248674,0.68437,2.99
7,0.224962,0.681003,2.99
8,0.231242,0.704831,2.99
9,0.209973,0.67295,2.99
10,0.215125,0.691632,2.99
11,0.207333,0.674606,2.99
12,0.199187,0.687532,2.99
13,0.196265,0.713099,3.0
14,0.196947,0.655607,2.99
15,0.19069,0.684328,2.99
16,0.193529,0.715237,2.99
17,0.18111,0.67627,2.99
18,0.173377,0.690498,2.99
19,0.177407,0.730857,2.98
20,0.169293,0.680269,3.0
21,0.167305,0.683497,2.99
22,0.165575,0.702334,3.0
23,0.155324,0.692725,3.0
24,0.146359,0.708566,2.99
25,0.144951,0.69014,3.0
26,0.142363,0.723788,2.99
27,0.137252,0.733954,2.97
28,0.128681,0.715562,2.97
29,0.130387,0.725265,2.97
30,0.120219,0.692015,2.97
31,0.120283,0.697904,2.98
32,0.116228,0.704935,2.98
33,0.111213,0.718442,2.97
34,0.106079,0.714666,2.98
35,0.103431,0.717064,2.97
36,0.102658,0.729138,2.98
37,0.095934,0.726498,2.98
