epoch,train_loss,val_auc,time_sec
0,0.687124,0.541321,13.23
1,0.648208,0.574409,13.03
2,0.625487,0.573487,13.02
3,0.599736,0.662089,13.02
4,0.557578,0.739754,13.03
5,0.476187,0.772258,13.02
6,0.4833,0.827496,13.03
7,0.43258,0.837942,13.03
8,0.404655,0.833026,13.04
9,0.432102,0.841751,13.03
10,0.384828,0.849923,13.03
11,0.39115,0.873579,13.03
12,0.413336,0.851398,13.03
13,0.391975,0.853487,13.03
14,0.377599,0.838433,13.04
15,0.36963,0.855637,13.04
16,0.362598,0.863871,13.04
17,0.364334,0.865284,13.04
18,0.361496,0.872412,13.04
19,0.357866,0.864916,13.04
20,0.351131,0.876713,13.03
21,0.335772,0.883717,13.03
22,0.377298,0.87149,13.03
23,0.345521,0.873088,13.05
24,0.335315,0.88341,13.03
25,0.327939,0.886359,13.03
26,0.330693,0.872596,13.03
27,0.347204,0.90043,13.03
28,0.315977,0.889247,13.03
29,0.313522,0.898157,13.02
30,0.319427,0.905837,13.03
31,0.315292,0.898894,13.03
32,0.296248,0.894654,13.04
33,0.3051,0.886728,13.03
34,0.303562,0.907742,13.03
35,0.293234,0.902089,13.02
36,0.291552,0.894286,13.04
37,0.289654,0.896805,13.04
38,0.284308,0.899693,13.04
39,0.275283,0.90467,13.04
40,0.279905,0.896313,13.04
41,0.277042,0.894777,13.04
42,0.284446,0.901966,13.04
43,0.273764,0.904977,13.04
44,0.265796,0.903871,13.04
