epoch,train_loss,val_score,time_sec
0,1.101791,0.572378,20.47
1,1.071055,0.595217,19.93
2,1.062339,0.592974,19.92
3,1.069661,0.647697,19.92
4,1.075731,0.603222,19.96
5,1.044522,0.665291,20.2
6,0.994012,0.686925,19.97
7,0.963891,0.709049,19.98
8,0.939766,0.709767,19.98
9,0.926564,0.700851,20.0
10,0.917939,0.708047,19.98
11,0.915596,0.714355,19.99
12,0.909604,0.70641,19.99
13,0.908143,0.708684,19.98
14,0.902944,0.715505,19.97
15,0.889115,0.721203,20.19
16,0.889116,0.698869,19.89
17,0.890838,0.713726,19.95
18,0.889914,0.719693,19.95
19,0.877296,0.719381,19.94
20,0.885834,0.706949,19.94
21,0.871685,0.721657,19.95
22,0.868716,0.725883,19.93
23,0.856885,0.735376,19.95
24,0.86808,0.735199,19.92
25,0.848199,0.736243,19.94
26,0.85251,0.735019,19.94
27,0.839456,0.740149,20.01
28,0.828586,0.730296,20.0
29,0.811151,0.74394,20.01
30,0.803188,0.742589,20.09
31,0.791896,0.742064,20.0
32,0.788608,0.744561,20.01
33,0.786348,0.753051,19.99
34,0.781575,0.752257,20.0
35,0.767087,0.762206,19.98
36,0.769491,0.752408,19.98
37,0.768058,0.760355,19.99
38,0.765397,0.760329,19.97
39,0.755849,0.761736,19.97
40,0.75249,0.759172,19.97
41,0.739683,0.764545,19.96
42,0.736586,0.764758,19.96
43,0.739647,0.764496,30.4
44,0.743943,0.765652,23.04
45,0.730611,0.765306,20.12
46,0.723391,0.764424,19.9
47,0.731686,0.764329,19.97
48,0.726525,0.764104,19.98
49,0.729673,0.76407,20.02
