epoch,train_loss,val_score,time_sec
0,0.521912,0.069903,20.24
1,0.448703,0.0,19.66
2,0.452717,0.0,19.66
3,0.445608,0.022112,19.67
4,0.428683,0.237908,19.67
5,0.402997,0.0,19.68
6,0.416892,0.441037,19.67
7,0.396276,0.405996,19.66
8,0.369998,0.316794,19.67
9,0.363334,0.235028,19.66
10,0.35695,0.308041,19.65
11,0.352112,0.393447,19.65
12,0.352209,0.280916,19.64
13,0.344552,0.456303,19.63
14,0.35733,0.252605,19.62
15,0.340192,0.435877,19.62
16,0.341542,0.459608,19.62
17,0.337362,0.458349,19.62
18,0.336782,0.443212,19.63
19,0.339218,0.482337,19.62
20,0.334099,0.422815,19.63
21,0.337594,0.481774,19.63
22,0.332583,0.485692,19.63
23,0.336311,0.358064,19.63
24,0.336373,0.306047,19.68
25,0.337288,0.345506,19.68
26,0.333018,0.336822,19.69
27,0.322758,0.349692,19.68
28,0.326521,0.480926,19.68
29,0.319349,0.48406,19.68
30,0.317207,0.50775,19.67
31,0.315682,0.450062,19.66
32,0.315,0.357512,19.67
33,0.316832,0.465735,19.65
34,0.317157,0.501908,19.66
35,0.307448,0.535536,19.67
36,0.293484,0.530036,19.64
37,0.282204,0.520749,19.64
38,0.264569,0.587367,19.65
39,0.246931,0.597282,19.64
40,0.240969,0.577362,19.63
41,0.231992,0.525914,19.64
42,0.237881,0.604293,19.64
43,0.224795,0.618719,19.63
44,0.220424,0.617987,19.63
45,0.217508,0.608557,19.64
46,0.215793,0.604042,19.63
47,0.215377,0.606232,19.64
48,0.217614,0.618512,19.68
49,0.211994,0.616723,19.71
