model,fold,arm,n,auc
densenet121,0,A_binary,299,0.9180521346469623
densenet121,0,B_ordinal,299,0.8833641215106733
densenet121,0,C_grade3,299,0.9032738095238094
densenet121,0,D_grade4,299,0.9013752052545156
densenet121,1,A_binary,254,0.9124384500107042
densenet121,1,B_ordinal,254,0.8861771212445587
densenet121,1,C_grade3,254,0.8998073217726398
densenet121,1,D_grade4,254,0.9314921858274459
densenet121,2,A_binary,268,0.863195084485407
densenet121,2,B_ordinal,268,0.8781874039938556
densenet121,2,C_grade3,268,0.8580952380952382
densenet121,2,D_grade4,268,0.8831029185867896
densenet121,3,A_binary,307,0.8841253791708797
densenet121,3,B_ordinal,307,0.8524772497472195
densenet121,3,C_grade3,307,0.8782608695652174
densenet121,3,D_grade4,307,0.8844287158746208
densenet121,4,A_binary,263,0.8920671243325706
densenet121,4,B_ordinal,263,0.9071319603356218
densenet121,4,C_grade3,263,0.8750317823544369
densenet121,4,D_grade4,263,0.8780828883803712
efficientnet_b0,0,A_binary,299,0.8766933497536946
efficientnet_b0,0,B_ordinal,299,0.7813013136288998
efficientnet_b0,0,C_grade3,299,0.8708435960591133
efficientnet_b0,0,D_grade4,299,0.8920361247947455
efficientnet_b0,1,A_binary,254,0.8641261685577678
efficientnet_b0,1,B_ordinal,254,0.7961892528366517
efficientnet_b0,1,C_grade3,254,0.8624134732034541
efficientnet_b0,1,D_grade4,254,0.9017341040462427
efficientnet_b0,2,A_binary,268,0.8466666666666667
efficientnet_b0,2,B_ordinal,268,0.7642089093701996
efficientnet_b0,2,C_grade3,268,0.8428571428571429
efficientnet_b0,2,D_grade4,268,0.8849462365591398
efficientnet_b0,3,A_binary,307,0.870273003033367
efficientnet_b0,3,B_ordinal,307,0.7291203235591507
efficientnet_b0,3,C_grade3,307,0.8427199191102123
efficientnet_b0,3,D_grade4,307,0.8720424671385237
efficientnet_b0,4,A_binary,263,0.8675947114162217
efficientnet_b0,4,B_ordinal,263,0.8238304093567251
efficientnet_b0,4,C_grade3,263,0.8275489448258327
efficientnet_b0,4,D_grade4,263,0.860602593440122
mobilenetv3_small,0,A_binary,299,0.8455972906403942
mobilenetv3_small,0,B_ordinal,299,0.7622639573070606
mobilenetv3_small,0,C_grade3,299,0.8447762725779966
mobilenetv3_small,0,D_grade4,299,0.9092261904761905
mobilenetv3_small,1,A_binary,254,0.8392207236137872
mobilenetv3_small,1,B_ordinal,254,0.7886248483550988
mobilenetv3_small,1,C_grade3,254,0.8651252408477843
mobilenetv3_small,1,D_grade4,254,0.9004495825305073
mobilenetv3_small,2,A_binary,268,0.799231950844854
mobilenetv3_small,2,B_ordinal,268,0.7458986175115208
mobilenetv3_small,2,C_grade3,268,0.7763133640552995
mobilenetv3_small,2,D_grade4,268,0.8367741935483871
mobilenetv3_small,3,A_binary,307,0.8448938321536905
mobilenetv3_small,3,B_ordinal,307,0.7983822042467138
mobilenetv3_small,3,C_grade3,307,0.8442871587462083
mobilenetv3_small,3,D_grade4,307,0.8884732052578362
mobilenetv3_small,4,A_binary,263,0.8218281210272057
mobilenetv3_small,4,B_ordinal,263,0.7287693872362064
mobilenetv3_small,4,C_grade3,263,0.8154080854309688
mobilenetv3_small,4,D_grade4,263,0.8486524281718789
resnet50,0,A_binary,299,0.9382183908045977
resnet50,0,B_ordinal,299,0.8858271756978654
resnet50,0,C_grade3,299,0.9121510673234811
resnet50,0,D_grade4,299,0.9141009852216748
resnet50,1,A_binary,254,0.9115107400271176
resnet50,1,B_ordinal,254,0.9102262185113822
resnet50,1,C_grade3,254,0.9194319560408193
resnet50,1,D_grade4,254,0.929779490473132
resnet50,2,A_binary,268,0.8630721966205838
resnet50,2,B_ordinal,268,0.8766513056835638
resnet50,2,C_grade3,268,0.8842089093701997
resnet50,2,D_grade4,268,0.8895545314900153
resnet50,3,A_binary,307,0.8854903943377148
resnet50,3,B_ordinal,307,0.8377148634984833
resnet50,3,C_grade3,307,0.8686046511627907
resnet50,3,D_grade4,307,0.8691607684529827
resnet50,4,A_binary,263,0.8743325705568269
resnet50,4,B_ordinal,263,0.8939740655987796
resnet50,4,C_grade3,263,0.9024281718789727
