model,arm_a,arm_b,n,auc_a,auc_b,delta_auc,delong_z,delong_p,significant_p05
densenet121,A_binary,B_ordinal,1391,0.8910655433264849,0.8804401995307923,0.010625343795692577,1.1544797288179651,0.24830354462684934,False
densenet121,A_binary,C_grade3,1391,0.8910655433264849,0.8806235572334614,0.010441986093023603,1.3546072582739586,0.17554271972086055,False
densenet121,A_binary,D_grade4,1391,0.8910655433264849,0.8942460942458592,-0.003180550919374303,-0.4062304864590214,0.6845732557672688,False
densenet121,B_ordinal,C_grade3,1391,0.8804401995307923,0.8806235572334614,-0.00018335770266897367,-0.022381996657770617,0.9821432413410445,False
densenet121,B_ordinal,D_grade4,1391,0.8804401995307923,0.8942460942458592,-0.01380589471506688,-1.6051839637204433,0.10845332551961917,False
densenet121,C_grade3,D_grade4,1391,0.8806235572334614,0.8942460942458592,-0.013622537012397906,-1.8112338059928965,0.0701046672678094,False
efficientnet_b0,A_binary,B_ordinal,1391,0.8636300593796868,0.776970037470792,0.08666002190889466,6.2335918696555135,4.558597943571385e-10,True
efficientnet_b0,A_binary,C_grade3,1391,0.8636300593796868,0.8473652908570326,0.016264768522654127,1.9047246701942713,0.05681587039406466,False
efficientnet_b0,A_binary,D_grade4,1391,0.8636300593796868,0.8807316912632406,-0.017101631883553736,-1.8491669990667496,0.06443370234951962,False
efficientnet_b0,B_ordinal,C_grade3,1391,0.776970037470792,0.8473652908570326,-0.07039525338624053,-5.034140247748278,4.799981732084291e-07,True
efficientnet_b0,B_ordinal,D_grade4,1391,0.776970037470792,0.8807316912632406,-0.1037616537924484,-7.759566641030638,8.43769498715119e-15,True
efficientnet_b0,C_grade3,D_grade4,1391,0.8473652908570326,0.8807316912632406,-0.03336640040620786,-3.4983129765332563,0.0004682113391134557,True
mobilenetv3_small,A_binary,B_ordinal,1391,0.8282843360805646,0.7667396179577713,0.061544718122793274,4.936348041666799,7.959900429899136e-07,True
mobilenetv3_small,A_binary,C_grade3,1391,0.8282843360805646,0.826612960098543,0.0016713759820216056,0.21425972202153346,0.8303445258163811,False
mobilenetv3_small,A_binary,D_grade4,1391,0.8282843360805646,0.8740837991715993,-0.045799463091034776,-5.188400474159353,2.1210807199523174e-07,True
mobilenetv3_small,B_ordinal,C_grade3,1391,0.7667396179577713,0.826612960098543,-0.05987334214077167,-4.4023227846599555,1.0709806047781711e-05,True
mobilenetv3_small,B_ordinal,D_grade4,1391,0.7667396179577713,0.8740837991715993,-0.10734418121382805,-8.239702234616827,2.220446049250313e-16,True
mobilenetv3_small,C_grade3,D_grade4,1391,0.826612960098543,0.8740837991715993,-0.04747083907305638,-5.291317548831103,1.2143830052657734e-07,True
resnet50,A_binary,B_ordinal,1391,0.8889968923220137,0.8801440063187885,0.008852886003225202,1.0517555513099563,0.2929117168345434,False
resnet50,A_binary,C_grade3,1391,0.8889968923220137,0.8927604267062845,-0.0037635343842707947,-0.5250070337185965,0.5995783013406799,False
resnet50,A_binary,D_grade4,1391,0.8889968923220137,0.8988817530876967,-0.009884860765682957,-1.3579397711635592,0.17448279620215423,False
resnet50,B_ordinal,C_grade3,1391,0.8801440063187885,0.8927604267062845,-0.012616420387495997,-1.5135045868493253,0.13015153692654602,False
resnet50,B_ordinal,D_grade4,1391,0.8801440063187885,0.8988817530876967,-0.01873774676890816,-2.2659068706619285,0.023457085865193017,True
resnet50,C_grade3,D_grade4,1391,0.8927604267062845,0.8988817530876967,-0.006121326381412162,-0.8756854370806204,0.38120106438486223,False
vgg16,A_binary,B_ordinal,1391,0.8947585555174212,0.88818588709867,0.00657266841875126,0.73502319286902,0.462325369316134,False
vgg16,A_binary,C_grade3,1391,0.8947585555174212,0.8886231246973423,0.0061354308200789465,0.9620442957765714,0.33602735365363534,False
vgg16,A_binary,D_grade4,1391,0.8947585555174212,0.9161808471125863,-0.021422291595165066,-2.996239968881918,0.0027333124389246066,True
vgg16,B_ordinal,C_grade3,1391,0.88818588709867,0.8886231246973423,-0.00043723759867231315,-0.054619323229189554,0.9564417440263941,False
vgg16,B_ordinal,D_grade4,1391,0.88818588709867,0.9161808471125863,-0.027994960013916326,-3.7903865440542255,0.00015041302575902193,True
vgg16,C_grade3,D_grade4,1391,0.8886231246973423,0.9161808471125863,-0.027557722415244013,-4.194726303504004,2.7320127050645127e-05,True
vit_base,A_binary,B_ordinal,1391,0.8844294049337327,0.8795433923055586,0.004886012628174119,0.5870131394670575,0.5571948821380146,False
vit_base,A_binary,C_grade3,1391,0.8844294049337327,0.8920528540331643,-0.007623449099431467,-1.0750753988776471,0.2823409726735522,False
vit_base,A_binary,D_grade4,1391,0.8844294049337327,0.9100736251698409,-0.02564422023610824,-3.4886291238945244,0.0004855042654903219,True
vit_base,B_ordinal,C_grade3,1391,0.8795433923055586,0.8920528540331643,-0.012509461727605586,-1.4268936177505902,0.15361056075836865,False
vit_base,B_ordinal,D_grade4,1391,0.8795433923055586,0.9100736251698409,-0.03053023286428236,-3.7035527353265305,0.00021260096057784672,True
vit_base,C_grade3,D_grade4,1391,0.8920528540331643,0.9100736251698409,-0.018020771136676772,-2.538646961310061,0.011128205424109527,True
