backbone,arm,fold,n_val,fs_method,auc,accuracy,sensitivity,specificity,precision,f1,balanced_accuracy,brier_score,tp,tn,fp,fn
densenet121,cnn_only,0,292,mutual_info_classif,0.799589344572324,0.7431506849315068,0.27956989247281766,0.9597989949743921,0.7647058823529411,0.4094488188976378,0.6196844437236049,0.18563040612100729,26,191,8,67
densenet121,radiomics_only,0,292,mutual_info_classif,0.9268925271518884,0.8767123287671232,0.7849462365582958,0.9195979899492867,0.8202247191011236,0.8021978021978022,0.8522721132537912,0.0930923763586475,73,183,16,20
densenet121,fusion_late,0,292,mutual_info_classif,0.9301345436861728,0.886986301369863,0.6881720430100127,0.9798994974869448,0.9411764705882353,0.7950310559006211,0.8340357702484787,0.10397023914668331,64,195,4,29
densenet121,fusion_early,0,292,mutual_info_classif,0.9399146268979306,0.8938356164383562,0.7849462365582958,0.9447236180899776,0.8690476190476191,0.8248587570621468,0.8648349273241367,0.08498883578041104,73,188,11,20
densenet121,fusion_intermediate,0,292,mutual_info_classif,0.9260820230183174,0.8835616438356164,0.8064516129023587,0.9195979899492867,0.8241758241758241,0.8152173913043478,0.8630248014258226,0.08858471168673972,75,183,16,18
densenet121,cnn_only,1,254,mutual_info_classif,0.8272318561335903,0.6968503937007874,0.08641975308631306,0.9826589595370043,0.7,0.15384615384615385,0.5345393563116587,0.22300599984093497,7,170,3,74
densenet121,radiomics_only,1,254,mutual_info_classif,0.9556126454006995,0.905511811023622,0.8024691358014784,0.9537572254329748,0.8904109589041096,0.8441558441558441,0.8781131806172267,0.07327310822866823,65,165,8,16
densenet121,fusion_late,1,254,mutual_info_classif,0.9490473132091628,0.8818897637795275,0.6543209876535132,0.9884393063578102,0.9636363636363636,0.7794117647058824,0.8213801470056616,0.10800592236871887,53,171,2,28
densenet121,fusion_early,1,254,mutual_info_classif,0.9441946763719405,0.8937007874015748,0.790123456789148,0.942196531791363,0.8648648648648649,0.8258064516129032,0.8661599942902555,0.08533503494584142,64,163,10,17
densenet121,fusion_intermediate,1,254,mutual_info_classif,0.8995218725469206,0.8385826771653543,0.6172839506165219,0.942196531791363,0.8333333333333334,0.7092198581560284,0.7797402412039425,0.11563136280256578,50,163,10,31
densenet121,cnn_only,2,266,mutual_info_classif,0.8740004997501248,0.8421052631578947,0.7391304347818053,0.8965517241374158,0.7906976744186046,0.7640449438202247,0.8178410794596105,0.13027557897467493,68,156,18,24
densenet121,radiomics_only,2,266,mutual_info_classif,0.9097951024487756,0.8609022556390977,0.7499999999991848,0.9195402298845291,0.8313253012048193,0.7885714285714286,0.8347701149418569,0.10988844544082868,69,160,14,23
densenet121,fusion_late,2,266,mutual_info_classif,0.9012993503248375,0.8533834586466166,0.7391304347818053,0.9137931034477508,0.8192771084337349,0.7771428571428571,0.826461769114778,0.107001053479864,68,159,15,24
densenet121,fusion_early,2,266,mutual_info_classif,0.8849325337331334,0.8308270676691729,0.7391304347818053,0.8793103448270809,0.7640449438202247,0.7513812154696132,0.8092203898044431,0.13734928063811797,68,153,21,24
densenet121,fusion_intermediate,2,266,mutual_info_classif,0.8982383808095952,0.8609022556390977,0.8152173913034617,0.8850574712638593,0.7894736842105263,0.8021390374331551,0.8501374312836605,0.11646890529518104,75,154,20,17
densenet121,cnn_only,3,303,mutual_info_classif,0.8863107822410148,0.8283828382838284,0.6590909090901601,0.8976744186042337,0.725,0.6904761904761905,0.7783826638471969,0.12838212704809795,58,193,22,30
densenet121,radiomics_only,3,303,mutual_info_classif,0.9307610993657506,0.8448844884488449,0.7159090909082774,0.8976744186042337,0.7411764705882353,0.7283236994219653,0.8067917547562555,0.10463781414625897,63,193,22,25
densenet121,fusion_late,3,303,mutual_info_classif,0.9213530655391121,0.858085808580858,0.7272727272719008,0.9116279069763202,0.7710843373493976,0.7485380116959064,0.8194503171241105,0.10269474878292166,64,196,19,24
densenet121,fusion_early,3,303,mutual_info_classif,0.9087737843551797,0.8415841584158416,0.7272727272719008,0.8883720930228427,0.7272727272727273,0.7272727272727273,0.8078224101473718,0.13439139994814925,64,191,24,24
densenet121,fusion_intermediate,3,303,mutual_info_classif,0.9149048625792812,0.8481848184818482,0.681818181817407,0.9162790697670158,0.7692307692307693,0.7228915662650602,0.7990486257922114,0.11017276418696108,60,197,18,28
densenet121,cnn_only,4,251,mutual_info_classif,0.7889934416880525,0.7051792828685259,0.13095238095222506,0.9940119760473091,0.9166666666666666,0.22916666666666666,0.5624821784997671,0.20807452934084092,11,166,1,73
