backbone,fusion_arm,fusion_auc,best_single_arm,best_single_auc,delong_p,fusion_significantly_better,run_id,input_size,commit_sha,condition
inceptionv3,fusion_intermediate,0.915372579121398,radiomics,0.9329829948039678,0.0086799224072731,False,,,,
inceptionv3,fusion_early,0.9135483093213668,radiomics,0.9329829948039678,0.0033948333858302,False,,,,
inceptionv3,fusion_late,0.9364248740355848,radiomics,0.9329829948039678,0.3773309627953241,False,,,,
xception,fusion_intermediate,0.8915721933553772,radiomics,0.9311181310029916,7.548237346277631e-07,False,,,,
xception,fusion_early,0.9009248051487954,radiomics,0.9311181310029916,5.041126771243576e-05,False,,,,
xception,fusion_late,0.9316200204692174,radiomics,0.9311181310029916,0.9021706278750456,False,,,,
googlenet,fusion_intermediate,0.9059473901747755,radiomics,0.931351854038734,0.0002109008905131,False,,,,
googlenet,fusion_early,0.9069216461974492,radiomics,0.931351854038734,0.0028012028796697,False,,,,
googlenet,fusion_late,0.932569674067076,radiomics,0.931351854038734,0.7989477010444981,False,,,,
convnext_tiny,fusion_intermediate,0.9199387891670604,radiomics,0.9317405723508108,0.0640102184767517,False,,,,
convnext_tiny,fusion_early,0.904227680680208,radiomics,0.9317405723508108,0.0006234793840789,False,,,,
convnext_tiny,fusion_late,0.9268815934498504,radiomics,0.9317405723508108,0.3354034036574851,False,,,,
inception_resnet_v2,fusion_intermediate,0.8839282199653598,radiomics,0.9307884585104708,2.639942091597902e-07,False,,,,
inception_resnet_v2,fusion_early,0.9143835616438356,radiomics,0.9307884585104708,0.0148132102545566,False,,,,
inception_resnet_v2,fusion_late,0.9313272516139192,radiomics,0.9307884585104708,0.8883389721534507,False,,,,
densenet201,fusion_intermediate,0.8983230987246104,radiomics,0.929024464651236,0.0001072462548088,False,,,,
densenet201,fusion_early,0.907605593607306,radiomics,0.929024464651236,0.0057913739097887,False,,,,
densenet201,fusion_late,0.9342032750747914,radiomics,0.929024464651236,0.2039696353512485,False,,,,
densenet121,fusion_intermediate,0.9156727287041412,radiomics,0.9336201976066762,0.0068864656648544,False,,,,
densenet121,fusion_early,0.9129959848842704,radiomics,0.9336201976066762,0.0020535552486247,False,,,,
densenet121,fusion_late,0.9319177098094787,radiomics,0.9336201976066762,0.6793126208246574,False,,,,
convnext_tiny,fusion_intermediate_branch_norm,0.8820485947094946,radiomics,0.9336201976066762,2.9989766225924086e-10,False,2026-08-04-run01,96.0,7fafbb8,plain
convnext_tiny,fusion_intermediate_gmu,0.9064542001259644,radiomics,0.9336201976066762,7.645608539608162e-07,False,2026-08-04-run01,96.0,7fafbb8,plain
densenet201,fusion_intermediate_branch_norm,0.9160614470162178,radiomics,0.9336201976066762,0.0011790256263528,False,2026-08-04-run01,96.0,7fafbb8,plain
densenet201,fusion_intermediate_gmu,0.9087865099984254,radiomics,0.9336201976066762,7.398490710364136e-05,False,2026-08-04-run01,96.0,7fafbb8,plain
densenet121,fusion_intermediate_branch_norm,0.9082723193197922,radiomics,0.9336201976066762,7.30755167401842e-05,False,2026-08-04-run01,96.0,7fafbb8,plain
densenet121,fusion_intermediate_gmu,0.9245591245473154,radiomics,0.9336201976066762,0.1377999629371227,False,2026-08-04-run01,96.0,7fafbb8,plain
convnext_tiny,fusion_intermediate_branch_norm_moddrop_auxloss,0.8757552944418201,radiomics,0.9336201976066762,1.563058571463216e-10,False,2026-08-04-run01,96.0,7fafbb8,reg
convnext_tiny,fusion_intermediate_gmu_moddrop_auxloss,0.9122382301999684,radiomics,0.9336201976066762,0.0005623418862392,False,2026-08-04-run01,96.0,7fafbb8,reg
densenet201,fusion_intermediate_branch_norm_moddrop_auxloss,0.9066510195244843,radiomics,0.9336201976066762,1.136322085493191e-05,False,2026-08-04-run01,96.0,7fafbb8,reg
densenet201,fusion_intermediate_gmu_moddrop_auxloss,0.896768225476303,radiomics,0.9336201976066762,1.5073185788416765e-07,False,2026-08-04-run01,96.0,7fafbb8,reg
densenet121,fusion_intermediate_branch_norm_moddrop_auxloss,0.9065747520075578,radiomics,0.9336201976066762,3.848427704622459e-05,False,2026-08-04-run01,96.0,7fafbb8,reg
densenet121,fusion_intermediate_gmu_moddrop_auxloss,0.9053421705243268,radiomics,0.9336201976066762,1.0940621905097814e-05,False,2026-08-04-run01,96.0,7fafbb8,reg
