run_id,commit_sha,backbone,sample_set,cam_method,arm,n,n_disagree,n_no_prob,dice,iou,dice_size_matched,pointing_acc,energy_mean,threshold_pct
2026-08-04-run02,5220afb,convnext_tiny,fixed6,layercam,cnn_only,6,0,0,0.29702958280933683,0.19130185530406252,0.7203966628334587,1.0,0.1256547599462038,0.8
2026-08-04-run02,5220afb,convnext_tiny,fixed6,layercam,fusion_late,6,0,0,0.29702958280933683,0.19130185530406252,0.7203966628334587,1.0,0.1256547599462038,0.8
2026-08-04-run02,5220afb,convnext_tiny,fold0_60,layercam,cnn_only,59,5,1,0.11052824311423903,0.06615270513626803,0.4518097648821768,0.7288135593220338,0.04847680009573507,0.8
2026-08-04-run02,5220afb,convnext_tiny,fold0_60,layercam,fusion_late,59,5,1,0.10656693510653732,0.06411279382831203,0.41754944373279224,0.6779661016949152,0.0473477521977861,0.8
2026-08-04-run02,5220afb,densenet201,fixed6,layercam,cnn_only,6,0,0,0.12495053600279589,0.07328006575315722,0.1654757022865839,0.3333333333333333,0.06569371515157764,0.8
2026-08-04-run02,5220afb,densenet201,fixed6,layercam,fusion_late,6,0,0,0.12495053600279589,0.07328006575315722,0.1654757022865839,0.3333333333333333,0.06569371515157764,0.8
2026-08-04-run02,5220afb,densenet201,fold0_60,layercam,cnn_only,59,6,1,0.09793624122885125,0.05822362507363555,0.42446837119752345,0.6949152542372882,0.03183685045792943,0.8
2026-08-04-run02,5220afb,densenet201,fold0_60,layercam,fusion_late,59,6,1,0.09337856121257661,0.05458202522426941,0.4061453193913648,0.6779661016949152,0.031451133537343905,0.8
2026-08-04-run02,5220afb,densenet121,fixed6,layercam,cnn_only,6,0,0,0.07466451693573369,0.0418078793841643,0.26611932092478535,0.5,0.045525098820831944,0.8
2026-08-04-run02,5220afb,densenet121,fixed6,layercam,fusion_late,6,0,0,0.07466451693573369,0.0418078793841643,0.26611932092478535,0.5,0.045525098820831944,0.8
2026-08-04-run02,5220afb,densenet121,fold0_60,layercam,cnn_only,59,2,1,0.06255171974377782,0.035739839800171314,0.34209381536256317,0.576271186440678,0.024986987815374923,0.8
2026-08-04-run02,5220afb,densenet121,fold0_60,layercam,fusion_late,59,2,1,0.062307401558970826,0.0356235156902958,0.3328488231087461,0.559322033898305,0.02495829640208593,0.8
