run_id,commit_sha,backbone,internal_name,module_class,module_path,spatial_h,spatial_w,exec_index,n_module_calls,exec_index_norm,n,dice,iou,dice_size_matched,pointing_acc,energy_mean,n_zero_cam,cam_method,fold,unfreeze_pct,site_rank,is_canonical_pick,checkpoint_mtime,input_size
2026-08-22-run03,ccbfe3d,convnext_tiny,convnext_tiny,LayerNorm2d,features.0.2.0,24,24,34,202,0.1692,60,0.07168739743507607,0.04021984310847226,0.3017981132598813,0.4166666666666667,0.09768757203570975,0,layercam,0,100,0,0,2026-08-22 17:06,96
2026-08-22-run03,ccbfe3d,convnext_tiny,convnext_tiny,LayerNorm2d,features.0.4.0,12,12,68,202,0.3383,60,0.09194326697815591,0.05240330586387689,0.16861009955746126,0.2,0.06757935304962702,0,layercam,0,100,1,0,2026-08-22 17:06,96
2026-08-22-run03,ccbfe3d,convnext_tiny,convnext_tiny,LayerNorm2d,features.0.6.0,6,6,162,202,0.806,60,0.07971126074374572,0.047638875520222904,0.07102482822005803,0.05,0.05412231562253264,0,layercam,0,100,2,0,2026-08-22 17:06,96
2026-08-22-run03,ccbfe3d,convnext_tiny,convnext_tiny,CNBlock,features.0.7.2,3,3,194,202,0.9652,60,0.09155955606335071,0.054779994231849025,0.2889250401323538,0.5,0.03518996996591004,0,layercam,0,100,3,1,2026-08-22 17:06,96
2026-08-22-run03,ccbfe3d,convnext_tiny,convnext_tiny,Sequential,features.0.7,3,3,195,202,0.9701,60,0.09155955606335071,0.054779994231849025,0.2889250401323538,0.5,0.03518996996591004,0,layercam,0,100,4,0,2026-08-22 17:06,96
2026-08-22-run03,ccbfe3d,convnext_tiny,convnext_tiny,AdaptiveAvgPool2d,features.1,1,1,197,202,0.9801,60,0.03495450919152259,0.018872070312039257,0.01132877542761301,0.0,0.0,60,layercam,0,100,5,0,2026-08-22 17:06,96
2026-08-22-run03,ccbfe3d,densenet201,densenet201,ReLU,features.0.relu0,48,48,2,716,0.0028,60,0.08062507923471744,0.043762943012237154,0.172224664883927,0.35,0.04498628790304719,0,layercam,0,100,0,0,2026-08-22 17:43,96
2026-08-22-run03,ccbfe3d,densenet201,densenet201,Conv2d,features.0.transition1.conv,24,24,49,716,0.0685,60,0.03930378164053402,0.021316609268713305,0.06709428209529207,0.15,0.035637195328745395,0,layercam,0,100,1,0,2026-08-22 17:43,96
2026-08-22-run03,ccbfe3d,densenet201,densenet201,Conv2d,features.0.transition2.conv,12,12,139,716,0.1944,60,0.05108736624859435,0.02927243940460319,0.07035856963728021,0.1,0.031060011985415626,0,layercam,0,100,2,0,2026-08-22 17:43,96
2026-08-22-run03,ccbfe3d,densenet201,densenet201,Conv2d,features.0.transition3.conv,6,6,481,716,0.6727,60,0.1309701052424732,0.08066503042917747,0.18183698850434188,0.1,0.07102714856924477,0,layercam,0,100,3,0,2026-08-22 17:43,96
2026-08-22-run03,ccbfe3d,densenet201,densenet201,BatchNorm2d,features.0.norm5,3,3,709,716,0.9916,60,0.00029218407594651684,0.00014738393514020752,6.150061500047656e-05,0.0,0.007456390966818281,0,layercam,0,100,4,1,2026-08-22 17:43,96
2026-08-22-run03,ccbfe3d,densenet201,densenet201,AdaptiveAvgPool2d,features.1,1,1,711,716,0.9944,60,0.03495450919152259,0.018872070312039257,0.01132877542761301,0.0,0.0,60,layercam,0,100,5,0,2026-08-22 17:43,96
2026-08-22-run03,ccbfe3d,densenet121,densenet121,ReLU,features.0.relu0,48,48,2,436,0.0046,60,0.09101787246182581,0.050316282749084,0.26929983314589906,0.4166666666666667,0.050980605793586174,0,layercam,0,100,0,0,2026-08-22 18:20,96
2026-08-22-run03,ccbfe3d,densenet121,densenet121,Conv2d,features.0.transition1.conv,24,24,49,436,0.1126,60,0.06509926264501413,0.03514870037961208,0.16344538547013554,0.25,0.04488977835572725,0,layercam,0,100,1,0,2026-08-22 18:20,96
2026-08-22-run03,ccbfe3d,densenet121,densenet121,Conv2d,features.0.transition2.conv,12,12,139,436,0.3195,60,0.08439468002597993,0.0476596060550002,0.09013283885205678,0.05,0.03497065898882834,0,layercam,0,100,2,0,2026-08-22 18:20,96
2026-08-22-run03,ccbfe3d,densenet121,densenet121,Conv2d,features.0.transition3.conv,6,6,313,436,0.7195,60,0.12717866184014245,0.07706181696046503,0.18761288541959378,0.1,0.059025275322006646,0,layercam,0,100,3,0,2026-08-22 18:20,96
2026-08-22-run03,ccbfe3d,densenet121,densenet121,BatchNorm2d,features.0.norm5,3,3,429,436,0.9862,60,0.047535509501501316,0.02651093520389942,0.11723417608279843,0.25,0.020654464396421077,0,layercam,0,100,4,1,2026-08-22 18:20,96
2026-08-22-run03,ccbfe3d,densenet121,densenet121,AdaptiveAvgPool2d,features.1,1,1,431,436,0.9908,60,0.03495450919152259,0.018872070312039257,0.01132877542761301,0.0,0.0,60,layercam,0,100,5,0,2026-08-22 18:20,96
