model,fold,params_M,gflops,latency_ms,auc,accuracy,sensitivity,specificity,precision,f1,balanced_accuracy,brier_score,tp,tn,fp,fn
mobilenetv3_small,0,0.928,0.010533076,6.803644001483917,0.8455972906403942,0.7993311036789298,0.5833333333327256,0.9014778325118713,0.7368421052631579,0.6511627906976745,0.7424055829222984,0.14379237357485203,56,183,20,40
mobilenetv3_small,1,0.928,0.010533076,6.803644001483917,0.8392207236137872,0.7992125984251969,0.592592592591861,0.8959537572249157,0.7272727272727273,0.6530612244897959,0.7442731749083884,0.1429134160683242,48,155,18,33
mobilenetv3_small,2,0.928,0.010533076,6.803644001483917,0.799231950844854,0.7611940298507462,0.5483870967736039,0.8742857142852147,0.6986301369863014,0.6144578313253012,0.7113364055294094,0.17048623248206915,51,153,22,42
mobilenetv3_small,3,0.928,0.010533076,6.803644001483917,0.8448938321536905,0.8078175895765473,0.576086956521113,0.9069767441856247,0.726027397260274,0.6424242424242425,0.7415318503533688,0.13840077140465937,53,195,20,39
mobilenetv3_small,4,0.928,0.010533076,6.803644001483917,0.8218281210272057,0.7832699619771863,0.6086956521732514,0.8771929824556275,0.7272727272727273,0.6627218934911243,0.7429443173144394,0.15605324842620033,56,150,21,36
efficientnet_b0,0,4.01,0.067936756,17.34461000189185,0.8766933497536946,0.8127090301003345,0.5729166666660699,0.9261083743837804,0.7857142857142857,0.6626506024096386,0.7495125205249251,0.12410453430247258,55,188,15,41
efficientnet_b0,1,4.01,0.067936756,17.34461000189185,0.8641261685577678,0.8188976377952756,0.6172839506165219,0.9132947976873335,0.7692307692307693,0.684931506849315,0.7652893741519277,0.13003217687859006,50,158,15,31
efficientnet_b0,2,4.01,0.067936756,17.34461000189185,0.8466666666666667,0.7947761194029851,0.6774193548379812,0.8571428571423674,0.7159090909090909,0.6961325966850829,0.7672811059901743,0.14636331244542888,63,150,25,30
efficientnet_b0,3,4.01,0.067936756,17.34461000189185,0.870273003033367,0.8403908794788274,0.6195652173906309,0.9348837209297978,0.8028169014084507,0.6993865030674846,0.7772244691602144,0.12376616353920832,57,201,14,35
efficientnet_b0,4,4.01,0.067936756,17.34461000189185,0.8675947114162217,0.7870722433460076,0.7391304347818053,0.8128654970755481,0.68,0.7083333333333334,0.7759979659286766,0.13628299518952008,68,139,32,24
densenet121,0,6.956,0.473280516,30.787094002589583,0.8982450738916257,0.862876254180602,0.791666666665842,0.8965517241374894,0.7835051546391752,0.7875647668393783,0.8441091954016657,0.11450032499508084,76,182,21,20
densenet121,1,6.956,0.473280516,30.787094002589583,0.9059444801255977,0.8503937007874016,0.7283950617274958,0.9075144508665275,0.7866666666666666,0.7564102564102564,0.8179547562970116,0.10896463161256711,59,157,16,22
densenet121,2,6.956,0.473280516,30.787094002589583,0.8544086021505376,0.8134328358208955,0.6881720430100127,0.8799999999994972,0.7529411764705882,0.7191011235955056,0.7840860215047549,0.1463375188553739,64,154,21,29
densenet121,3,6.956,0.473280516,30.787094002589583,0.8655207280080889,0.8110749185667753,0.6847826086949078,0.8651162790693651,0.6847826086956522,0.6847826086956522,0.7749494438821365,0.14041672308352482,63,186,29,29
densenet121,4,6.956,0.473280516,30.787094002589583,0.8883168065090261,0.8631178707224335,0.7282608695644258,0.935672514619336,0.8589743589743589,0.788235294117647,0.8319666920918809,0.11033469136455964,67,160,11,25
resnet50,0,23.512,0.674357252,21.447896002791822,0.9382183908045977,0.8729096989966555,0.6979166666659397,0.9556650246300712,0.881578947368421,0.7790697674418605,0.8267908456480054,0.09224582272969926,67,194,9,29
resnet50,1,23.512,0.674357252,21.447896002791822,0.9115107400271176,0.8622047244094488,0.7160493827151654,0.9306358381497511,0.8285714285714286,0.7682119205298014,0.8233426104324583,0.10129725763219134,58,161,12,23
resnet50,2,23.512,0.674357252,21.447896002791822,0.8630721966205838,0.8134328358208955,0.6559139784939184,0.8971428571423445,0.7721518987341772,0.7093023255813954,0.7765284178181315,0.14413213611434805,61,157,18,32
resnet50,3,23.512,0.674357252,21.447896002791822,0.8854903943377148,0.8208469055374593,0.7608695652165642,0.8465116279065831,0.6796116504854369,0.717948717948718,0.8036905965615737,0.13141900923409144,70,182,33,22
resnet50,4,23.512,0.674357252,21.447896002791822,0.8743325705568269,0.8517110266159695,0.6630434782601489,0.9532163742684485,0.8840579710144928,0.7577639751552795,0.8081299262642987,0.12098834613704532,61,163,8,31
vgg16,0,14.716,2.514216964,13.174783997237682,0.9403735632183908,0.862876254180602,0.6562499999993164,0.960591133004453,0.8873239436619719,0.7544910179640718,0.8084205665018847,0.09368319281954936,63,195,8,33
vgg16,1,14.716,2.514216964,13.174783997237682,0.9469778063227003,0.8858267716535433,0.7777777777768176,0.936416184970557,0.8513513513513513,0.8129032258064516,0.8570969813736873,0.0783349822121172,63,162,11,18
vgg16,2,14.716,2.514216964,13.174783997237682,0.8659600614439323,0.8395522388059702,0.6881720430100127,0.9199999999994743,0.8205128205128205,0.7485380116959064,0.8040860215047435,0.12063869906250081,64,161,14,29
vgg16,3,14.716,2.514216964,13.174783997237682,0.9042972699696663,0.8501628664495114,0.7173913043470463,0.9069767441856247,0.7674418604651163,0.7415730337078652,0.8121840242663355,0.12119174260047937,66,195,20,26
vgg16,4,14.716,2.514216964,13.174783997237682,0.8940376303076533,0.8631178707224335,0.7717391304339437,0.9122807017538526,0.8255813953488372,0.797752808988764,0.8420099160938981,0.10872464667615818,71,156,15,21
vit_base,0,85.8,35.2108273,139.70763999968767,0.8988095238095238,0.8528428093645485,0.562499999999414,0.9901477832507438,0.9642857142857143,0.7105263157894737,0.776323891625079,0.12413286709506435,54,201,2,42
vit_base,1,85.8,35.2108273,139.70763999968767,0.918932419895811,0.8346456692913385,0.679012345678174,0.9075144508665275,0.7746478873239436,0.7236842105263158,0.7932633982723507,0.11305490032457753,55,157,16,26
vit_base,2,85.8,35.2108273,139.70763999968767,0.9077419354838709,0.8395522388059702,0.7526881720422014,0.8857142857137796,0.7777777777777778,0.7650273224043715,0.8192012288779905,0.1162226796077096,70,155,20,23
vit_base,3,85.8,35.2108273,139.70763999968767,0.8580384226491407,0.8371335504885994,0.6739130434775283,0.9069767441856247,0.7560975609756098,0.7126436781609196,0.7904448938315765,0.13061496102673814,62,195,20,30
