model,track,task,fold,optimizer,weight_decay,run_id,params_M,gflops,latency_ms,auc,accuracy,sensitivity,specificity,precision,f1,balanced_accuracy,brier_score,tp,tn,fp,fn
mobilenetv3_small,legacy,binary,0,adamw,0.0001,mobilenetv3_small_binary_f0_adamw_wd0.0001,0.928,0.010533076,5.108801999595016,0.8455972906403942,0.7993311036789298,0.5833333333327256,0.9014778325118713,0.7368421052631579,0.6511627906976745,0.7424055829222984,0.14379237357485203,56,183,20,40
mobilenetv3_small,legacy,binary,1,adamw,0.0001,mobilenetv3_small_binary_f1_adamw_wd0.0001,0.928,0.010533076,5.108801999595016,0.8392207236137872,0.7992125984251969,0.592592592591861,0.8959537572249157,0.7272727272727273,0.6530612244897959,0.7442731749083884,0.1429134160683242,48,155,18,33
mobilenetv3_small,legacy,binary,2,adamw,0.0001,mobilenetv3_small_binary_f2_adamw_wd0.0001,0.928,0.010533076,5.108801999595016,0.799231950844854,0.7611940298507462,0.5483870967736039,0.8742857142852147,0.6986301369863014,0.6144578313253012,0.7113364055294094,0.17048623248206915,51,153,22,42
mobilenetv3_small,legacy,binary,3,adamw,0.0001,mobilenetv3_small_binary_f3_adamw_wd0.0001,0.928,0.010533076,5.108801999595016,0.8448938321536905,0.8078175895765473,0.576086956521113,0.9069767441856247,0.726027397260274,0.6424242424242425,0.7415318503533688,0.13840077140465937,53,195,20,39
mobilenetv3_small,legacy,binary,4,adamw,0.0001,mobilenetv3_small_binary_f4_adamw_wd0.0001,0.928,0.010533076,5.108801999595016,0.8218281210272057,0.7832699619771863,0.6086956521732514,0.8771929824556275,0.7272727272727273,0.6627218934911243,0.7429443173144394,0.15605324842620033,56,150,21,36
efficientnet_b0,track2,binary,0,adamw,0.0001,efficientnet_b0_binary_f0_adamw_wd0.0001,4.01,0.067936756,17.374171999981627,0.8766933497536946,0.8127090301003345,0.5729166666660699,0.9261083743837804,0.7857142857142857,0.6626506024096386,0.7495125205249251,0.12410453430247258,55,188,15,41
efficientnet_b0,track2,binary,1,adamw,0.0001,efficientnet_b0_binary_f1_adamw_wd0.0001,4.01,0.067936756,17.374171999981627,0.8641261685577678,0.8188976377952756,0.6172839506165219,0.9132947976873335,0.7692307692307693,0.684931506849315,0.7652893741519277,0.13003217687859006,50,158,15,31
efficientnet_b0,track2,binary,2,adamw,0.0001,efficientnet_b0_binary_f2_adamw_wd0.0001,4.01,0.067936756,17.374171999981627,0.8466666666666667,0.7947761194029851,0.6774193548379812,0.8571428571423674,0.7159090909090909,0.6961325966850829,0.7672811059901743,0.14636331244542888,63,150,25,30
efficientnet_b0,track2,binary,3,adamw,0.0001,efficientnet_b0_binary_f3_adamw_wd0.0001,4.01,0.067936756,17.374171999981627,0.870273003033367,0.8403908794788274,0.6195652173906309,0.9348837209297978,0.8028169014084507,0.6993865030674846,0.7772244691602144,0.12376616353920832,57,201,14,35
efficientnet_b0,track2,binary,4,adamw,0.0001,efficientnet_b0_binary_f4_adamw_wd0.0001,4.01,0.067936756,17.374171999981627,0.8675947114162217,0.7870722433460076,0.7391304347818053,0.8128654970755481,0.68,0.7083333333333334,0.7759979659286766,0.13628299518952008,68,139,32,24
densenet121,track1,binary,0,adamw,0.0001,densenet121_binary_f0_adamw_wd0.0001,6.956,1.064931332,38.96331600029953,0.9180521346469623,0.8695652173913043,0.7708333333325303,0.9162561576350167,0.8131868131868132,0.7914438502673797,0.8435447454837735,0.09375871679309841,74,186,17,22
densenet121,track1,binary,1,adamw,0.0001,densenet121_binary_f1_adamw_wd0.0001,6.956,1.064931332,38.96331600029953,0.9124384500107042,0.8110236220472441,0.6913580246905044,0.8670520231208861,0.7088607594936709,0.7,0.7792050239056953,0.11111706921573306,56,150,23,25
densenet121,track1,binary,2,adamw,0.0001,densenet121_binary_f2_adamw_wd0.0001,6.956,1.064931332,38.96331600029953,0.863195084485407,0.8208955223880597,0.6989247311820441,0.8857142857137796,0.7647058823529411,0.7303370786516854,0.7923195084479119,0.14013949556122154,65,155,20,28
densenet121,track1,binary,3,adamw,0.0001,densenet121_binary_f3_adamw_wd0.0001,6.956,1.064931332,38.96331600029953,0.8841253791708797,0.8469055374592834,0.6956521739122873,0.9116279069763202,0.7710843373493976,0.7314285714285714,0.8036400404443038,0.11682778391424782,64,196,19,28
densenet121,track1,binary,4,adamw,0.0001,densenet121_binary_f4_adamw_wd0.0001,6.956,1.064931332,38.96331600029953,0.8920671243325706,0.8593155893536122,0.7282608695644258,0.9298245614029651,0.8481012658227848,0.783625730994152,0.8290427154836955,0.11542856576390041,67,159,12,25
resnet50,track2,binary,0,adamw,0.0001,resnet50_binary_f0_adamw_wd0.0001,23.512,0.674357252,22.09947600029409,0.9382183908045977,0.8729096989966555,0.6979166666659397,0.9556650246300712,0.881578947368421,0.7790697674418605,0.8267908456480054,0.09224582272969926,67,194,9,29
resnet50,track2,binary,1,adamw,0.0001,resnet50_binary_f1_adamw_wd0.0001,23.512,0.674357252,22.09947600029409,0.9115107400271176,0.8622047244094488,0.7160493827151654,0.9306358381497511,0.8285714285714286,0.7682119205298014,0.8233426104324583,0.10129725763219134,58,161,12,23
resnet50,track2,binary,2,adamw,0.0001,resnet50_binary_f2_adamw_wd0.0001,23.512,0.674357252,22.09947600029409,0.8630721966205838,0.8134328358208955,0.6559139784939184,0.8971428571423445,0.7721518987341772,0.7093023255813954,0.7765284178181315,0.14413213611434805,61,157,18,32
resnet50,track2,binary,3,adamw,0.0001,resnet50_binary_f3_adamw_wd0.0001,23.512,0.674357252,22.09947600029409,0.8854903943377148,0.8208469055374593,0.7608695652165642,0.8465116279065831,0.6796116504854369,0.717948717948718,0.8036905965615737,0.13141900923409144,70,182,33,22
resnet50,track2,binary,4,adamw,0.0001,resnet50_binary_f4_adamw_wd0.0001,23.512,0.674357252,22.09947600029409,0.8743325705568269,0.8517110266159695,0.6630434782601489,0.9532163742684485,0.8840579710144928,0.7577639751552795,0.8081299262642987,0.12098834613704532,61,163,8,31
vgg16,track2,binary,0,adamw,0.0001,vgg16_binary_f0_adamw_wd0.0001,14.716,2.514216964,13.283649999648333,0.9403735632183908,0.862876254180602,0.6562499999993164,0.960591133004453,0.8873239436619719,0.7544910179640718,0.8084205665018847,0.09368319281954936,63,195,8,33
vgg16,track2,binary,1,adamw,0.0001,vgg16_binary_f1_adamw_wd0.0001,14.716,2.514216964,13.283649999648333,0.9469778063227003,0.8858267716535433,0.7777777777768176,0.936416184970557,0.8513513513513513,0.8129032258064516,0.8570969813736873,0.0783349822121172,63,162,11,18
vgg16,track2,binary,2,adamw,0.0001,vgg16_binary_f2_adamw_wd0.0001,14.716,2.514216964,13.283649999648333,0.8659600614439323,0.8395522388059702,0.6881720430100127,0.9199999999994743,0.8205128205128205,0.7485380116959064,0.8040860215047435,0.12063869906250081,64,161,14,29
vgg16,track2,binary,3,adamw,0.0001,vgg16_binary_f3_adamw_wd0.0001,14.716,2.514216964,13.283649999648333,0.9042972699696663,0.8501628664495114,0.7173913043470463,0.9069767441856247,0.7674418604651163,0.7415730337078652,0.8121840242663355,0.12119174260047937,66,195,20,26
vgg16,track2,binary,4,adamw,0.0001,vgg16_binary_f4_adamw_wd0.0001,14.716,2.514216964,13.283649999648333,0.8940376303076533,0.8631178707224335,0.7717391304339437,0.9122807017538526,0.8255813953488372,0.797752808988764,0.8420099160938981,0.10872464667615818,71,156,15,21
vit_base,legacy,binary,0,adamw,0.0001,vit_base_binary_f0_adamw_wd0.0001,85.8,35.2108273,137.8503659996204,0.8988095238095238,0.8528428093645485,0.562499999999414,0.9901477832507438,0.9642857142857143,0.7105263157894737,0.776323891625079,0.12413286709506435,54,201,2,42
vit_base,legacy,binary,1,adamw,0.0001,vit_base_binary_f1_adamw_wd0.0001,85.8,35.2108273,137.8503659996204,0.918932419895811,0.8346456692913385,0.679012345678174,0.9075144508665275,0.7746478873239436,0.7236842105263158,0.7932633982723507,0.11305490032457753,55,157,16,26
vit_base,legacy,binary,2,adamw,0.0001,vit_base_binary_f2_adamw_wd0.0001,85.8,35.2108273,137.8503659996204,0.9077419354838709,0.8395522388059702,0.7526881720422014,0.8857142857137796,0.7777777777777778,0.7650273224043715,0.8192012288779905,0.1162226796077096,70,155,20,23
vit_base,legacy,binary,3,adamw,0.0001,vit_base_binary_f3_adamw_wd0.0001,85.8,35.2108273,137.8503659996204,0.8580384226491407,0.8371335504885994,0.6739130434775283,0.9069767441856247,0.7560975609756098,0.7126436781609196,0.7904448938315765,0.13061496102673814,62,195,20,30
vit_base,legacy,binary,4,adamw,0.0001,vit_base_binary_f4_adamw_wd0.0001,85.8,35.2108273,137.8503659996204,0.8836765827612509,0.8326996197718631,0.6521739130427694,0.9298245614029651,0.8333333333333334,0.7317073170731707,0.7909992372228672,0.1250716048151862,60,159,12,32
inceptionv3,track1,binary,0,adamw,0.0001,inceptionv3_binary_f0_adamw_wd0.0001,21.79,0.682785572,37.60543799959123,0.9217980295566504,0.8762541806020067,0.7187499999992513,0.9507389162556894,0.8734177215189873,0.7885714285714286,0.8347444581274703,0.09806123408083851,69,193,10,27
inceptionv3,track1,binary,1,adamw,0.0001,inceptionv3_binary_f1_adamw_wd0.0001,21.79,0.682785572,37.60543799959123,0.9251409405551988,0.8779527559055118,0.6666666666658436,0.9768786127161984,0.9310344827586207,0.7769784172661871,0.821772639691021,0.09591575773602151,54,169,4,27
inceptionv3,track1,binary,2,adamw,0.0001,inceptionv3_binary_f2_adamw_wd0.0001,21.79,0.682785572,37.60543799959123,0.8632565284178187,0.835820895522388,0.6989247311820441,0.9085714285709094,0.8024691358024691,0.7471264367816092,0.8037480798764768,0.1324115849656601,65,159,16,28
inceptionv3,track1,binary,3,adamw,0.0001,inceptionv3_binary_f3_adamw_wd0.0001,21.79,0.682785572,37.60543799959123,0.9014155712841254,0.8306188925081434,0.6739130434775283,0.8976744186042337,0.7380952380952381,0.7045454545454546,0.785793731040881,0.11305863292613398,62,193,22,30
inceptionv3,track1,binary,4,adamw,0.0001,inceptionv3_binary_f4_adamw_wd0.0001,21.79,0.682785572,37.60543799959123,0.8845029239766081,0.844106463878327,0.6413043478253899,0.9532163742684485,0.8805970149253731,0.7421383647798742,0.7972603610469192,0.12151769703360138,59,163,8,33
xception,track1,binary,0,adamw,0.0001,xception_binary_f0_adamw_wd0.0001,20.811,1.668329668,32.93463399983011,0.92184934318555,0.8963210702341137,0.7499999999992187,0.9655172413788348,0.9113924050632911,0.8228571428571428,0.8577586206890268,0.09150429148709575,72,196,7,24
xception,track1,binary,1,adamw,0.0001,xception_binary_f1_adamw_wd0.0001,20.811,1.668329668,32.93463399983011,0.914507956897167,0.8937007874015748,0.790123456789148,0.942196531791363,0.8648648648648649,0.8258064516129032,0.8661599942902555,0.09834085906377228,64,163,10,17
xception,track1,binary,2,adamw,0.0001,xception_binary_f2_adamw_wd0.0001,20.811,1.668329668,32.93463399983011,0.8773886328725039,0.8470149253731343,0.6881720430100127,0.9314285714280393,0.8421052631578947,0.757396449704142,0.809800307219026,0.12816257484598906,64,163,12,29
xception,track1,binary,3,adamw,0.0001,xception_binary_f3_adamw_wd0.0001,20.811,1.668329668,32.93463399983011,0.8521739130434784,0.8338762214983714,0.6304347826080103,0.9209302325577112,0.7733333333333333,0.6946107784431138,0.7756825075828608,0.1270299471089259,58,198,17,34
xception,track1,binary,4,adamw,0.0001,xception_binary_f4_adamw_wd0.0001,20.811,1.668329668,32.93463399983011,0.8894609712687516,0.870722433460076,0.6847826086949078,0.970760233917561,0.9264705882352942,0.7875,0.8277714213062344,0.11038567856842399,63,166,5,29
googlenet,track1,binary,0,adamw,0.0001,googlenet_binary_f0_adamw_wd0.0001,5.602,0.555812132,23.03539999993518,0.9088669950738916,0.862876254180602,0.7499999999992187,0.9162561576350167,0.8089887640449438,0.7783783783783784,0.8331280788171177,0.10514139291073549,72,186,17,24
googlenet,track1,binary,1,adamw,0.0001,googlenet_binary_f1_adamw_wd0.0001,5.602,0.555812132,23.03539999993518,0.8992364233212018,0.8700787401574803,0.7283950617274958,0.936416184970557,0.8428571428571429,0.7814569536423841,0.8324056233490265,0.10525796244324928,59,162,11,22
googlenet,track1,binary,2,adamw,0.0001,googlenet_binary_f2_adamw_wd0.0001,5.602,0.555812132,23.03539999993518,0.8816897081413209,0.8432835820895522,0.6989247311820441,0.9199999999994743,0.8227848101265823,0.7558139534883721,0.8094623655907592,0.12199177310079296,65,161,14,28
googlenet,track1,binary,3,adamw,0.0001,googlenet_binary_f3_adamw_wd0.0001,5.602,0.555812132,23.03539999993518,0.8858442871587461,0.8436482084690554,0.7065217391296668,0.9023255813949292,0.7558139534883721,0.7303370786516854,0.8044236602622981,0.1243372361301361,65,194,21,27
googlenet,track1,binary,4,adamw,0.0001,googlenet_binary_f4_adamw_wd0.0001,5.602,0.555812132,23.03539999993518,0.905161454360539,0.870722433460076,0.7934782608687028,0.9122807017538526,0.8295454545454546,0.8111111111111111,0.8528794813112777,0.1082699906295182,73,156,15,19
convnext_tiny,track1,binary,0,adamw,0.0001,convnext_tiny_binary_f0_adamw_wd0.0001,27.82,1.648556548,36.08140599913895,0.9344724958949097,0.842809364548495,0.8645833333324328,0.8325123152705259,0.7094017094017094,0.7793427230046949,0.8485478243014793,0.10846381257240854,83,169,34,13
convnext_tiny,track1,binary,1,adamw,0.0001,convnext_tiny_binary_f1_adamw_wd0.0001,27.82,1.648556548,36.08140599913895,0.9215728252337114,0.8661417322834646,0.6913580246905044,0.9479768786121688,0.8615384615384616,0.7671232876712328,0.8196674516513367,0.10006518162304795,56,164,9,25
convnext_tiny,track1,binary,2,adamw,0.0001,convnext_tiny_binary_f2_adamw_wd0.0001,27.82,1.648556548,36.08140599913895,0.8929339477726576,0.8171641791044776,0.8172043010743901,0.8171428571423902,0.7037037037037037,0.7562189054726368,0.8171735791083902,0.14618573663467835,76,143,32,17
convnext_tiny,track1,binary,3,adamw,0.0001,convnext_tiny_binary_f3_adamw_wd0.0001,27.82,1.648556548,36.08140599913895,0.8806370070778564,0.8175895765472313,0.7934782608687028,0.827906976743801,0.6636363636363637,0.7227722772277227,0.8106926188062519,0.12793934125232506,73,178,37,19
convnext_tiny,track1,binary,4,adamw,0.0001,convnext_tiny_binary_f4_adamw_wd0.0001,27.82,1.648556548,36.08140599913895,0.8979150775489447,0.870722433460076,0.7608695652165642,0.9298245614029651,0.8536585365853658,0.8045977011494253,0.8453470633097646,0.11720287370299935,70,159,12,22
inception_resnet_v2,track1,binary,0,adamw,0.0001,inception_resnet_v2_binary_f0_adamw_wd0.0001,54.31,1.473279236,65.81970400060527,0.9025041050903122,0.8595317725752508,0.6458333333326606,0.960591133004453,0.8857142857142857,0.7469879518072289,0.8032122331685567,0.10228538346620374,62,195,8,34
inception_resnet_v2,track1,binary,1,adamw,0.0001,inception_resnet_v2_binary_f1_adamw_wd0.0001,54.31,1.473279236,65.81970400060527,0.9143652322843073,0.8818897637795275,0.7160493827151654,0.9595375722537807,0.8923076923076924,0.7945205479452054,0.8377934774844731,0.09242559853351329,58,166,7,23
