model,task,fold,params_M,gflops,latency_ms,auc_macro,accuracy,f1_macro,auc_nodule_only,accuracy_nodule_only,sensitivity_nodule_only,specificity_nodule_only,precision_nodule_only,f1_nodule_only,balanced_accuracy_nodule_only,brier_score_nodule_only,n_nodule_only
mobilenetv3_small,grade4,0,0.929,0.010535384,9.144457997754216,0.8356952029101339,0.657563025210084,0.558939275784544,0.9092261904761905,0.8361204013377926,0.6562499999993164,0.9211822660093985,0.7974683544303798,0.72,0.7887161330043575,0.11047635004605512,299
mobilenetv3_small,grade4,1,0.929,0.010535384,9.144457997754216,0.8610177575325169,0.6991576413959085,0.5714494672080375,0.9004495825305073,0.84251968503937,0.6172839506165219,0.9479768786121688,0.847457627118644,0.7142857142857143,0.7826304146143453,0.11432634212717793,254
mobilenetv3_small,grade4,2,0.929,0.010535384,9.144457997754216,0.8219587644154903,0.6662606577344702,0.5585280527357172,0.8367741935483871,0.8022388059701493,0.6559139784939184,0.8799999999994972,0.7439024390243902,0.6971428571428572,0.7679569892467077,0.1511092532942503,268
mobilenetv3_small,grade4,3,0.929,0.010535384,9.144457997754216,0.8293156056910671,0.6460071513706794,0.5670424230369814,0.8884732052578362,0.8436482084690554,0.7065217391296668,0.9023255813949292,0.7558139534883721,0.7303370786516854,0.8044236602622981,0.11558721028497253,307
mobilenetv3_small,grade4,4,0.929,0.010535384,9.144457997754216,0.8366070969046416,0.6578631452581032,0.566644656823631,0.8486524281718789,0.8403041825095057,0.7065217391296668,0.9122807017538526,0.8125,0.7558139534883721,0.8094012204417597,0.12610459071296323,263
efficientnet_b0,grade4,0,4.013,0.06794188,17.291617998853326,0.8448091540458637,0.680672268907563,0.5898670411563971,0.8920361247947455,0.8595317725752508,0.7083333333325955,0.9310344827581621,0.8292682926829268,0.7640449438202247,0.8196839080453788,0.10919301685565963,299
efficientnet_b0,grade4,1,4.013,0.06794188,17.291617998853326,0.885776766141088,0.740072202166065,0.6403697482232327,0.9017341040462427,0.8740157480314961,0.6913580246905044,0.9595375722537807,0.8888888888888888,0.7777777777777778,0.8254477984721426,0.10808902863892608,254
efficientnet_b0,grade4,2,4.013,0.06794188,17.291617998853326,0.8614007861111436,0.7137637028014616,0.6278523725053917,0.8849462365591398,0.832089552238806,0.6989247311820441,0.902857142856627,0.7926829268292683,0.7428571428571429,0.8008909370193356,0.13212248610353194,268
efficientnet_b0,grade4,3,4.013,0.06794188,17.291617998853326,0.850772443818021,0.6889153754469607,0.6078656278717531,0.8720424671385237,0.8306188925081434,0.6956521739122873,0.8883720930228427,0.7272727272727273,0.7111111111111111,0.7920121334675649,0.12888746995711897,307
efficientnet_b0,grade4,4,4.013,0.06794188,17.291617998853326,0.8688682423708313,0.7058823529411765,0.6229170846454328,0.860602593440122,0.8060836501901141,0.7499999999991848,0.8362573099410315,0.711340206185567,0.7301587301587301,0.7931286549701082,0.1385206193829031,263
densenet121,grade4,0,6.958,0.473284616,31.319158002734188,0.862400487380047,0.6922268907563025,0.6201106301292091,0.9013752052545156,0.8561872909698997,0.7187499999992513,0.9211822660093985,0.8117647058823529,0.7624309392265194,0.8199661330043249,0.11128697655525656,299
densenet121,grade4,1,6.958,0.473284616,31.319158002734188,0.9045075126892241,0.762936221419976,0.6592195343414006,0.9314921858274459,0.889763779527559,0.7777777777768176,0.942196531791363,0.863013698630137,0.8181818181818182,0.8599871547840903,0.08819273929473442,254
densenet121,grade4,2,6.958,0.473284616,31.319158002734188,0.8697816489185451,0.7174177831912302,0.6028954449221744,0.8831029185867896,0.8208955223880597,0.645161290321887,0.9142857142851919,0.8,0.7142857142857143,0.7797235023035394,0.1396362247008768,268
densenet121,grade4,3,6.958,0.473284616,31.319158002734188,0.8744886925629423,0.7103694874851013,0.6303095973307471,0.8844287158746208,0.8566775244299675,0.7282608695644258,0.9116279069763202,0.7790697674418605,0.7528089887640449,0.819944388270373,0.11342127419940759,307
densenet121,grade4,4,6.958,0.473284616,31.319158002734188,0.8886641673972328,0.7334933973589436,0.6442027217539485,0.8780828883803712,0.8365019011406845,0.7173913043470463,0.9005847953211108,0.7951807228915663,0.7542857142857143,0.8089880498340786,0.12461133840067264,263
resnet50,grade4,0,23.516,0.674365448,25.58959800750017,0.8743104629029892,0.6985294117647058,0.6184985942407845,0.9141009852216748,0.882943143812709,0.6979166666659397,0.9704433497532166,0.9178082191780822,0.7928994082840237,0.834180008209578,0.09549049922117477,299
resnet50,grade4,1,23.516,0.674365448,25.58959800750017,0.9040185365884439,0.7472924187725631,0.6361190563448966,0.929779490473132,0.8740157480314961,0.6913580246905044,0.9595375722537807,0.8888888888888888,0.7777777777777778,0.8254477984721426,0.09291571093652552,254
resnet50,grade4,2,23.516,0.674365448,25.58959800750017,0.8766061267528072,0.7186358099878197,0.6399354325873456,0.8895545314900153,0.8395522388059702,0.7096774193540756,0.9085714285709094,0.8048780487804879,0.7542857142857143,0.8091244239624925,0.1318177262014613,268
resnet50,grade4,3,23.516,0.674365448,25.58959800750017,0.8699044647759797,0.6948748510131109,0.5996266908900122,0.8691607684529827,0.8273615635179153,0.6521739130427694,0.9023255813949292,0.7407407407407407,0.6936416184971098,0.7772497472188493,0.12752003466983838,307
resnet50,grade4,4,23.516,0.674365448,25.58959800750017,0.8965158157339451,0.7214885954381752,0.6316869787556577,0.9036994660564455,0.8517110266159695,0.6847826086949078,0.9415204678357068,0.863013698630137,0.7636363636363637,0.8131515382653073,0.11359182397972689,263
vgg16,grade4,0,14.717,2.514219016,13.202264001592994,0.9061515940833882,0.7373949579831933,0.6647004780200081,0.942785303776683,0.8695652173913043,0.8958333333324001,0.857142857142435,0.7478260869565218,0.8151658767772512,0.8764880952374176,0.10016227589264734,299
