run_id,commit_sha,model,optimizer,lr,mean,std,count
2026-08-30-rev1task7,ccbfe3d,efficientnet_b0,adam,0.0001,0.8755,0.0159,5
2026-08-30-rev1task7,ccbfe3d,efficientnet_b0,sgd,0.0001,0.7294,0.0282,5
2026-08-30-rev1task7,ccbfe3d,efficientnet_b0,sgd,0.001,0.8779,0.0108,5
2026-08-30-rev1task7,ccbfe3d,efficientnet_b0,sgd,0.01,0.9137,0.0261,5
2026-08-30-rev1task7,ccbfe3d,efficientnet_b0,sgd,0.1,0.8927,0.0401,5
2026-08-30-rev1task7,ccbfe3d,mobilenetv2,adam,0.0001,0.8511,0.0237,5
2026-08-30-rev1task7,ccbfe3d,mobilenetv2,sgd,0.0001,0.756,0.0305,5
2026-08-30-rev1task7,ccbfe3d,mobilenetv2,sgd,0.001,0.9,0.0159,5
2026-08-30-rev1task7,ccbfe3d,mobilenetv2,sgd,0.01,0.9006,0.0353,5
2026-08-30-rev1task7,ccbfe3d,mobilenetv2,sgd,0.1,0.7592,0.1642,5
2026-08-30-rev1task7,ccbfe3d,resnet50,adam,0.0001,0.8989,0.0267,5
2026-08-30-rev1task7,ccbfe3d,resnet50,sgd,0.0001,0.7721,0.0172,5
2026-08-30-rev1task7,ccbfe3d,resnet50,sgd,0.001,0.8987,0.0335,5
2026-08-30-rev1task7,ccbfe3d,resnet50,sgd,0.01,0.9017,0.0322,5
2026-08-30-rev1task7,ccbfe3d,resnet50,sgd,0.1,0.8363,0.1375,5
2026-08-30-rev1task7,ccbfe3d,vgg16,adam,0.0001,0.9118,0.0333,5
2026-08-30-rev1task7,ccbfe3d,vgg16,sgd,0.0001,0.8687,0.0317,5
2026-08-30-rev1task7,ccbfe3d,vgg16,sgd,0.001,0.8978,0.0373,5
2026-08-30-rev1task7,ccbfe3d,vgg16,sgd,0.01,0.9107,0.0305,5
2026-08-30-rev1task7,ccbfe3d,vgg16,sgd,0.1,0.5,0.0,5
