model,optimizer,weight_decay,n_runs,auc_mean,auc_std,auc_var,auc_cv,ci95_low,ci95_high,auc_min,auc_max
efficientnet_b0,adam,1e-05,5,0.873353,0.020038,0.00040152,0.022944,0.855789,0.890917,0.856006,0.906609
efficientnet_b0,adam,0.0001,5,0.875498,0.015938,0.00025401,0.018204,0.861528,0.889468,0.862336,0.900811
efficientnet_b0,adam,0.001,5,0.874243,0.017461,0.00030488,0.019973,0.858938,0.889548,0.850661,0.893114
efficientnet_b0,adamw,0.001,5,0.868121,0.008254,6.812e-05,0.009508,0.860887,0.875356,0.854593,0.876078
efficientnet_b0,adamw,0.01,5,0.872186,0.012109,0.00014662,0.013883,0.861572,0.882799,0.860922,0.892344
efficientnet_b0,adamw,0.1,5,0.867568,0.009229,8.518e-05,0.010638,0.859479,0.875658,0.856375,0.879163
efficientnet_b0,sgd,1e-05,5,0.730721,0.027529,0.00075783,0.037673,0.706591,0.754851,0.698894,0.772424
efficientnet_b0,sgd,0.0001,5,0.729402,0.028232,0.00079704,0.038705,0.704655,0.754148,0.687664,0.76524
efficientnet_b0,sgd,0.001,5,0.725987,0.042387,0.00179667,0.058385,0.688833,0.763141,0.684083,0.773303
mobilenetv2,adam,1e-05,5,0.860327,0.013348,0.00017816,0.015515,0.848627,0.872027,0.840461,0.876693
mobilenetv2,adam,0.0001,5,0.851102,0.0237,0.00056169,0.027846,0.830328,0.871876,0.810169,0.868278
mobilenetv2,adam,0.001,5,0.858981,0.031949,0.00102076,0.037195,0.830976,0.886986,0.82,0.90573
mobilenetv2,adamw,0.001,5,0.853561,0.029287,0.00085771,0.034311,0.82789,0.879231,0.811582,0.884464
mobilenetv2,adamw,0.01,5,0.858301,0.022257,0.00049539,0.025932,0.838791,0.87781,0.820492,0.876557
mobilenetv2,adamw,0.1,5,0.861225,0.019601,0.00038421,0.02276,0.844044,0.878406,0.839846,0.891672
mobilenetv2,sgd,1e-05,5,0.777867,0.039182,0.00153526,0.050372,0.743522,0.812212,0.719616,0.816743
mobilenetv2,sgd,0.0001,5,0.756038,0.030459,0.00092772,0.040287,0.72934,0.782736,0.715668,0.792847
mobilenetv2,sgd,0.001,5,0.758558,0.016556,0.00027411,0.021826,0.744045,0.77307,0.736906,0.778787
resnet50,adam,1e-05,5,0.895672,0.022683,0.00051451,0.025325,0.875789,0.915554,0.872396,0.927545
resnet50,adam,0.0001,5,0.898904,0.026709,0.00071336,0.029713,0.875493,0.922315,0.867742,0.931849
resnet50,adam,0.001,5,0.899447,0.021304,0.00045387,0.023686,0.880773,0.918121,0.872903,0.922501
resnet50,adamw,0.001,5,0.89373,0.022638,0.00051248,0.02533,0.873887,0.913573,0.860246,0.920207
resnet50,adamw,0.01,5,0.895188,0.028727,0.00082524,0.03209,0.870007,0.920368,0.864307,0.926622
resnet50,adamw,0.1,5,0.898989,0.025388,0.00064454,0.02824,0.876736,0.921242,0.874065,0.926211
resnet50,sgd,1e-05,5,0.764002,0.081745,0.00668225,0.106996,0.69235,0.835655,0.656462,0.845341
resnet50,sgd,0.0001,5,0.77208,0.01724,0.0002972,0.022329,0.756969,0.787191,0.750753,0.789029
resnet50,sgd,0.001,5,0.779937,0.024535,0.00060197,0.031458,0.758431,0.801443,0.755177,0.813958
vgg16,adam,1e-05,5,0.907769,0.032755,0.00107292,0.036083,0.879058,0.936481,0.866636,0.943909
vgg16,adam,0.0001,5,0.911782,0.033257,0.00110603,0.036475,0.882631,0.940933,0.871183,0.946788
vgg16,adam,0.001,5,0.913368,0.029097,0.00084663,0.031857,0.887864,0.938873,0.878802,0.949261
vgg16,adamw,0.001,5,0.91286,0.033579,0.00112755,0.036784,0.883426,0.942293,0.876836,0.949547
vgg16,adamw,0.01,5,0.910428,0.036988,0.00136808,0.040627,0.878007,0.942849,0.859693,0.953543
vgg16,adamw,0.1,5,0.908043,0.034134,0.00116512,0.037591,0.878124,0.937963,0.866759,0.948976
vgg16,sgd,1e-05,5,0.86777,0.030738,0.00094481,0.035422,0.840828,0.894713,0.830445,0.904095
vgg16,sgd,0.0001,5,0.868736,0.031709,0.00100549,0.036501,0.840941,0.89653,0.83063,0.907482
vgg16,sgd,0.001,5,0.868696,0.031748,0.00100793,0.036547,0.840867,0.896524,0.830937,0.908046
