model,optimizer,n_runs,auc_mean,auc_std,auc_var,auc_cv,ci95_low,ci95_high,auc_min,auc_max
efficientnet_b0,adam,15,0.874364,0.01659,0.00027524,0.018974,0.865969,0.88276,0.850661,0.906609
efficientnet_b0,adamw,15,0.869292,0.009499,9.023e-05,0.010927,0.864485,0.874099,0.854593,0.892344
efficientnet_b0,sgd,15,0.728703,0.031014,0.00096184,0.04256,0.713008,0.744398,0.684083,0.773303
mobilenetv2,adam,15,0.856803,0.02282,0.00052077,0.026634,0.845254,0.868352,0.810169,0.90573
mobilenetv2,adamw,15,0.857696,0.022518,0.00050706,0.026254,0.8463,0.869091,0.811582,0.891672
mobilenetv2,sgd,15,0.764154,0.02973,0.0008839,0.038906,0.749108,0.7792,0.715668,0.816743
resnet50,adam,15,0.898007,0.021988,0.00048347,0.024485,0.88688,0.909135,0.867742,0.931849
resnet50,adamw,15,0.895969,0.023909,0.00057162,0.026685,0.883869,0.908068,0.860246,0.926622
resnet50,sgd,15,0.772006,0.047026,0.00221146,0.060914,0.748208,0.795805,0.656462,0.845341
vgg16,adam,15,0.910973,0.029503,0.0008704,0.032386,0.896043,0.925904,0.866636,0.949261
vgg16,adamw,15,0.910444,0.032405,0.00105007,0.035592,0.894045,0.926843,0.859693,0.953543
vgg16,sgd,15,0.868401,0.029076,0.00084542,0.033482,0.853686,0.883115,0.830445,0.908046
