backbone,n,dice,iou,dice_size_matched,pointing_acc,energy_mean,threshold_pct
mobilenetv3_small,60,0.037940232963416844,0.02014437541772518,0.0175956514553711,0.0,0.020453145167911167,0.8
efficientnet_b0,60,0.060953007852733734,0.035312788798785015,0.06667486539416044,0.08333333333333333,0.05626714742518511,0.8
densenet121,60,0.10300194941595621,0.0629595705283734,0.47029298368959993,0.7166666666666667,0.03093808423976059,0.8
resnet50,60,0.11814123001033264,0.07029315580902583,0.14606066805301665,0.11666666666666667,0.05338501175471514,0.8
vgg16,60,0.09138282779308891,0.059676981454956195,0.17848136134959208,0.2,0.10273352306755532,0.8
vit_base,60,0.03569182996195316,0.01979526823735684,0.014974401403883609,0.0,0.007354051570139628,0.8
inceptionv3,60,0.08999315844331207,0.05023026277757706,0.16474135896284842,0.2,0.037796772889683763,0.8
xception,60,0.07163754044089268,0.047940170286912484,0.15189532728758642,0.2,0.04643701757677796,0.8
googlenet,60,0.03495450919152259,0.018872070312039257,0.01132877542761301,0.0,0.0,0.8
convnext_tiny,60,0.10912365545050878,0.06527184485515106,0.4442796021341405,0.7166666666666667,0.04778946844055489,0.8
inception_resnet_v2,60,0.1199206489360661,0.07264374117972192,0.30890262669159263,0.38333333333333336,0.06692107589695423,0.8
densenet201,60,0.0970199609950789,0.05761908498090026,0.4322087131178939,0.7,0.031489475233563886,0.8
